Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,season
San Jose Sharks*,82,45,27,10,100,0.61,252,229,0.28,0.0,0.537,40.0,35-27-20,0.5489999999999999,20172018
Los Angeles Kings*,82,45,29,8,98,0.598,239,203,0.44,0.0,0.5429999999999999,43.0,34-29-19,0.53,20172018
Calgary Flames,82,37,35,10,84,0.512,218,248,-0.33,0.03,0.47,35.0,28-35-19,0.457,20172018
Edmonton Oilers,82,36,40,6,78,0.47600000000000003,234,263,-0.32,0.03,0.415,31.0,24-40-18,0.402,20172018
Vancouver Canucks,82,31,40,11,73,0.445,218,264,-0.51,0.05,0.409,31.0,25-40-17,0.409,20172018
Arizona Coyotes,82,29,41,12,70,0.42700000000000005,208,256,-0.53,0.05,0.37200000000000005,27.0,20-41-21,0.37200000000000005,20172018
Tampa Bay Lightning*,82,62,16,4,128,0.78,325,222,1.21,-0.05,0.726,56.0,49-16-17,0.701,20182019
Boston Bruins*,82,49,24,9,107,0.652,259,215,0.52,-0.01,0.604,47.0,38-24-20,0.585,20182019
Toronto Maple Leafs*,82,46,28,8,100,0.61,286,251,0.42,-0.01,0.573,46.0,40-28-14,0.573,20182019
Montreal Canadiens,82,44,30,8,96,0.585,249,236,0.16,0.0,0.518,41.0,37-30-15,0.5429999999999999,20182019
Florida Panthers,82,36,32,14,86,0.524,267,280,-0.14,0.02,0.46299999999999997,33.0,26-32-24,0.46299999999999997,20182019
Buffalo Sabres,82,33,39,10,76,0.46299999999999997,226,271,-0.51,0.04,0.39,28.0,21-39-22,0.39,20182019
Detroit Red Wings,82,32,40,10,74,0.451,227,277,-0.57,0.04,0.402,29.0,20-40-22,0.37799999999999995,20182019
Ottawa Senators,82,29,47,6,64,0.39,242,302,-0.69,0.05,0.36,29.0,23-47-12,0.354,20182019
Washington Capitals*,82,48,26,8,104,0.634,278,249,0.35,-0.01,0.5670000000000001,44.0,39-26-17,0.579,20182019
New York Islanders*,82,48,27,7,103,0.628,228,196,0.38,-0.01,0.585,43.0,37-27-18,0.561,20182019
Pittsburgh Penguins*,82,44,26,12,100,0.61,273,241,0.38,-0.01,0.5429999999999999,42.0,37-26-19,0.5670000000000001,20182019
Carolina Hurricanes*,82,46,29,7,99,0.604,245,223,0.26,-0.01,0.561,44.0,39-29-14,0.561,20182019
Columbus Blue Jackets*,82,47,31,4,98,0.598,258,232,0.31,-0.01,0.5670000000000001,45.0,37-31-14,0.537,20182019
Philadelphia Flyers,82,37,37,8,82,0.5,244,281,-0.42,0.03,0.439,34.0,28-37-17,0.445,20182019
New York Rangers,82,32,36,14,78,0.47600000000000003,227,272,-0.52,0.03,0.384,26.0,23-36-23,0.42100000000000004,20182019
New Jersey Devils,82,31,41,10,72,0.439,222,275,-0.61,0.04,0.384,28.0,24-41-17,0.396,20182019
Nashville Predators*,82,47,29,6,100,0.61,240,214,0.31,-0.01,0.561,43.0,38-29-15,0.555,20182019
Winnipeg Jets*,82,47,30,5,99,0.604,272,244,0.33,-0.02,0.5670000000000001,45.0,38-30-14,0.5489999999999999,20182019
St. Louis Blues*,82,45,28,9,99,0.604,247,223,0.28,-0.01,0.5489999999999999,42.0,36-28-18,0.5489999999999999,20182019
Dallas Stars*,82,43,32,7,93,0.5670000000000001,210,202,0.09,0.0,0.53,42.0,36-32-14,0.524,20182019
Colorado Avalanche*,82,38,30,14,90,0.5489999999999999,260,246,0.17,-0.01,0.46299999999999997,36.0,33-30-19,0.518,20182019
Chicago Blackhawks,82,36,34,12,84,0.512,270,292,-0.25,0.02,0.42700000000000005,33.0,24-34-24,0.439,20182019
Minnesota Wild,82,37,36,9,83,0.506,211,237,-0.3,0.02,0.47,36.0,33-36-13,0.48200000000000004,20182019
Calgary Flames*,82,50,25,7,107,0.652,289,227,0.7,-0.06,0.634,50.0,45-25-12,0.622,20182019
San Jose Sharks*,82,46,27,9,101,0.616,289,261,0.3,-0.04,0.579,46.0,38-27-17,0.5670000000000001,20182019
Vegas Golden Knights*,82,43,32,7,93,0.5670000000000001,249,230,0.19,-0.04,0.518,40.0,36-32-14,0.524,20182019
Arizona Coyotes,82,39,35,8,86,0.524,213,223,-0.14,-0.02,0.47,35.0,30-35-17,0.47,20182019
Vancouver Canucks,82,35,36,11,81,0.494,225,254,-0.35,0.01,0.42700000000000005,29.0,22-36-24,0.415,20182019
Anaheim Ducks,82,35,37,10,80,0.488,199,251,-0.63,0.01,0.42700000000000005,32.0,27-37-18,0.439,20182019
Edmonton Oilers,82,35,38,9,79,0.48200000000000004,232,274,-0.51,0.01,0.42700000000000005,32.0,24-38-20,0.415,20182019
Los Angeles Kings,82,31,42,9,71,0.433,202,263,-0.73,0.02,0.384,28.0,22-42-18,0.37799999999999995,20182019
Boston Bruins*,70,44,14,12,100,0.7140000000000001,227,174,0.74,-0.02,0.679,38.0,38-14-18,0.6709999999999999,20192020
Washington Capitals*,69,41,20,8,90,0.652,240,215,0.41,0.04,0.5870000000000001,31.0,31-20-18,0.58,20192020
Tampa Bay Lightning*,70,43,21,6,92,0.657,245,195,0.71,0.0,0.607,35.0,35-21-14,0.6,20192020
Philadelphia Flyers*,69,41,21,7,89,0.645,232,196,0.52,0.0,0.594,31.0,31-21-17,0.5720000000000001,20192020
Pittsburgh Penguins*,69,40,23,6,86,0.623,224,196,0.39,-0.02,0.5579999999999999,29.0,29-23-17,0.5429999999999999,20192020
Carolina Hurricanes*,68,38,25,5,81,0.596,222,193,0.41,-0.02,0.522,27.0,27-25-16,0.515,20192020
Toronto Maple Leafs*,70,36,25,9,81,0.579,238,227,0.15,-0.01,0.5429999999999999,28.0,28-25-17,0.521,20192020
Columbus Blue Jackets*,70,33,22,15,81,0.579,180,187,-0.12,-0.02,0.5,25.0,25-22-23,0.521,20192020
New York Islanders*,68,35,23,10,80,0.588,192,193,0.01,0.02,0.515,24.0,24-23-21,0.507,20192020
New York Rangers*,70,37,28,5,79,0.564,234,222,0.15,-0.03,0.536,31.0,31-28-11,0.521,20192020
Florida Panthers*,69,35,26,8,78,0.565,231,228,0.05,0.01,0.514,30.0,30-26-13,0.529,20192020
Montreal Canadiens*,71,31,31,9,71,0.5,212,221,-0.12,0.01,0.415,19.0,19-31-21,0.415,20192020
Buffalo Sabres,69,30,31,8,68,0.493,195,217,-0.34,-0.03,0.435,22.0,22-31-16,0.435,20192020
New Jersey Devils,69,28,29,12,68,0.493,189,230,-0.57,0.02,0.42,22.0,22-29-18,0.449,20192020
Ottawa Senators,71,25,34,12,62,0.43700000000000006,191,243,-0.76,-0.02,0.38,18.0,18-34-19,0.387,20192020
Detroit Red Wings,71,17,49,5,39,0.275,145,267,-1.7,0.02,0.23199999999999998,13.0,13-49-9,0.24600000000000002,20192020
St. Louis Blues*,71,42,19,10,94,0.662,225,193,0.47,0.02,0.599,33.0,33-19-19,0.599,20192020
Vegas Golden Knights*,71,39,24,8,86,0.606,227,211,0.21,-0.02,0.542,30.0,30-24-17,0.542,20192020
Colorado Avalanche*,70,42,20,8,92,0.657,237,191,0.64,-0.02,0.6,37.0,37-20-13,0.621,20192020
Edmonton Oilers*,71,37,25,9,83,0.585,225,217,0.09,-0.02,0.521,31.0,31-25-15,0.542,20192020
Dallas Stars*,69,37,24,8,82,0.594,180,177,0.09,0.05,0.5429999999999999,26.0,26-24-19,0.514,20192020
Winnipeg Jets*,71,37,28,6,80,0.563,216,203,0.17,-0.01,0.514,30.0,30-28-13,0.514,20192020
Calgary Flames*,70,36,27,7,79,0.564,210,215,-0.08,-0.01,0.479,25.0,25-27-18,0.486,20192020
Vancouver Canucks*,69,36,27,6,78,0.565,228,217,0.13,-0.03,0.514,27.0,27-27-15,0.5,20192020
Nashville Predators*,69,35,26,8,78,0.565,215,217,-0.03,-0.01,0.507,28.0,28-26-15,0.514,20192020
Minnesota Wild*,69,35,27,7,77,0.5579999999999999,220,220,0.01,0.01,0.514,30.0,30-27-12,0.522,20192020
Arizona Coyotes*,70,33,29,8,74,0.529,195,187,0.11,0.0,0.46399999999999997,26.0,26-29-15,0.479,20192020
Chicago Blackhawks*,70,32,30,8,72,0.514,212,218,-0.05,0.04,0.457,23.0,23-30-17,0.45,20192020
Anaheim Ducks,71,29,33,9,67,0.47200000000000003,187,226,-0.53,0.02,0.38,20.0,20-33-18,0.408,20192020
Los Angeles Kings,70,29,35,6,64,0.457,178,212,-0.48,0.01,0.429,21.0,21-35-14,0.4,20192020
San Jose Sharks,70,29,36,5,63,0.45,182,226,-0.62,0.01,0.40700000000000003,22.0,22-36-12,0.4,20192020
