,Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,PLUSMINUS,OPS,DPS,GPS,PS,season
620,4,John Carlson,29,WSH,D,551,32.22,3.0,34.0,26.0,41.0,30.0,13,57,70,21,5.8,4.7,0,10.5,20182019
621,5,Morgan Rielly,24,TOR,D,515,30.12,0.0,28.0,33.0,37.0,43.0,20,52,72,24,7.0,4.7,0,11.7,20182019
622,6,Kris Letang,31,PIT,D,145,8.48,0.0,3.0,14.0,11.0,21.0,16,40,56,13,5.2,3.8,0,9.0,20182019
623,7,Roman Josi,28,NSH,D,82,4.8,0.0,2.0,2.0,13.0,19.0,15,41,56,9,4.7,5.2,0,9.9,20182019
624,8,Ryan McDonagh,29,TBL,D,70,4.09,0.0,0.0,9.0,7.0,4.0,9,37,46,38,3.3,5.7,0,8.9,20182019
625,9,Seth Jones,24,CBJ,D,40,2.34,0.0,1.0,5.0,1.0,5.0,9,37,46,1,3.3,4.2,0,7.5,20182019
626,10,Mattias Ekholm,28,NSH,D,14,0.82,0.0,0.0,1.0,3.0,0.0,8,36,44,27,3.0,6.1,0,9.2,20182019
627,11,Jake Muzzin,29,TOT,D,5,0.29,0.0,0.0,1.0,0.0,0.0,9,28,37,21,2.6,5.3,0,7.8,20182019
628,11,Jared Spurgeon,29,MIN,D,5,0.29,0.0,0.0,1.0,0.0,0.0,14,29,43,-1,3.3,5.5,0,8.8,20182019
629,11,Oliver Ekman-Larsson,27,ARI,D,5,0.29,0.0,0.0,1.0,0.0,0.0,14,30,44,-16,3.7,4.2,0,7.9,20182019
630,14,Dougie Hamilton,25,CAR,D,4,0.23,0.0,0.0,0.0,1.0,1.0,18,21,39,0,3.8,3.7,0,7.6,20182019
631,15,Erik Karlsson,28,SJS,D,4,0.23,0.0,0.0,0.0,0.0,4.0,3,42,45,6,3.2,2.8,0,6.0,20182019
632,16,Zdeno Chara,41,BOS,D,3,0.18,0.0,0.0,0.0,1.0,0.0,5,9,14,22,0.3,4.5,0,4.8,20182019
633,16,Jaccob Slavin,24,CAR,D,3,0.18,0.0,0.0,0.0,1.0,0.0,8,23,31,0,1.7,4.3,0,6.0,20182019
634,18,Thomas Chabot,22,OTT,D,1,0.06,0.0,0.0,0.0,0.0,1.0,14,41,55,-12,4.8,2.7,0,7.5,20182019
635,18,Esa Lindell,24,DAL,D,1,0.06,0.0,0.0,0.0,0.0,1.0,11,21,32,14,1.9,6.7,0,8.6,20182019
636,18,Brett Pesce,24,CAR,D,1,0.06,0.0,0.0,0.0,0.0,1.0,7,22,29,35,1.8,6.1,0,7.9,20182019
637,18,Jeff Petry,31,MTL,D,1,0.06,0.0,0.0,0.0,0.0,1.0,13,33,46,-5,3.6,3.2,0,6.8,20182019
638,18,Ryan Suter,34,MIN,D,1,0.06,0.0,0.0,0.0,0.0,1.0,7,40,47,-8,2.7,5.5,0,8.3,20182019
639,1,Roman Josi,29,NSH,D,1499,88.18,109.0,52.0,9.0,0.0,0.0,16,49,65,22,6.1,4.8,0,10.9,20192020
640,2,John Carlson,30,WSH,D,1267,74.53,56.0,83.0,23.0,2.0,5.0,15,60,75,12,7.2,3.5,0,10.7,20192020
641,3,Victor Hedman,29,TBL,D,820,48.24,4.0,25.0,104.0,27.0,4.0,11,44,55,27,4.7,4.8,0,9.5,20192020
642,4,Alex Pietrangelo,30,STL,D,527,31.0,1.0,9.0,24.0,104.0,22.0,16,36,52,11,4.8,4.3,0,9.1,20192020
643,5,Jaccob Slavin,25,CAR,D,138,8.12,0.0,1.0,5.0,15.0,61.0,6,30,36,30,2.2,5.7,0,7.9,20192020
644,6,Shea Theodore,24,VEG,D,39,2.29,0.0,0.0,1.0,7.0,13.0,13,33,46,12,4.2,3.9,0,8.1,20192020
645,7,Dougie Hamilton,26,CAR,D,35,2.06,0.0,0.0,2.0,5.0,10.0,14,26,40,30,4.0,4.6,0,8.6,20192020
646,8,Zach Werenski,22,CBJ,D,23,1.35,0.0,0.0,0.0,5.0,8.0,20,21,41,9,4.4,4.8,0,9.1,20192020
647,9,Cale Makar,21,COL,D,23,1.35,0.0,0.0,0.0,2.0,17.0,12,38,50,12,4.8,2.9,0,7.7,20192020
648,10,Charlie McAvoy,22,BOS,D,14,0.82,0.0,0.0,1.0,1.0,6.0,5,27,32,24,1.8,5.1,0,6.9,20192020
649,11,Esa Lindell,25,DAL,D,5,0.29,0.0,0.0,1.0,0.0,0.0,3,20,23,5,0.6,4.7,0,5.4,20192020
650,12,Anthony DeAngelo,24,NYR,D,5,0.29,0.0,0.0,0.0,1.0,2.0,15,38,53,12,5.2,3.2,0,8.4,20192020
651,12,Miro Heiskanen,20,DAL,D,5,0.29,0.0,0.0,0.0,1.0,2.0,8,27,35,14,2.4,5.4,0,7.8,20192020
652,14,Seth Jones,25,CBJ,D,5,0.29,0.0,0.0,0.0,0.0,5.0,6,24,30,10,1.9,4.6,0,6.5,20192020
653,15,Quinn Hughes,20,VAN,D,3,0.18,0.0,0.0,0.0,0.0,3.0,8,45,53,-10,4.2,2.3,0,6.5,20192020
654,15,Shea Weber,34,MTL,D,3,0.18,0.0,0.0,0.0,0.0,3.0,15,21,36,8,3.4,3.8,0,7.3,20192020
655,17,Kris Letang,32,PIT,D,2,0.12,0.0,0.0,0.0,0.0,2.0,15,29,44,0,4.0,3.4,0,7.4,20192020
656,17,Ivan Provorov,23,PHI,D,2,0.12,0.0,0.0,0.0,0.0,2.0,13,23,36,11,2.8,4.3,0,7.1,20192020
657,19,Jonas Brodin,26,MIN,D,1,0.06,0.0,0.0,0.0,0.0,1.0,2,26,28,15,1.2,4.0,0,5.2,20192020
658,19,Zdeno Chara,42,BOS,D,1,0.06,0.0,0.0,0.0,0.0,1.0,5,9,14,26,0.1,5.0,0,5.1,20192020
659,19,Drew Doughty,30,LAK,D,1,0.06,0.0,0.0,0.0,0.0,1.0,7,28,35,-16,2.1,3.3,0,5.4,20192020
660,19,Torey Krug,28,BOS,D,1,0.06,0.0,0.0,0.0,0.0,1.0,9,40,49,-4,4.3,2.3,0,6.7,20192020
661,19,Jared Spurgeon,30,MIN,D,1,0.06,0.0,0.0,0.0,0.0,1.0,12,20,32,-1,2.7,2.6,0,5.4,20192020
